doc_number,vendor,order_date,delivery_date
4500000004,V01       ,02-07-2019,03-07-2019
4500000006,V02       ,02-07-2019,03-07-2019
4500000022,V01       ,16-07-2019,22-07-2019
4500000023,V02       ,16-07-2019,19-07-2019
4500000044,V01       ,30-07-2019,02-08-2019
4500000045,V02       ,30-07-2019,05-08-2019
4500000060,V01       ,13-08-2019,19-08-2019
4500000061,V02       ,13-08-2019,19-08-2019
4500000083,V01       ,27-08-2019,28-08-2019
4500000085,V02       ,27-08-2019,29-08-2019
4500000108,V01       ,10-09-2019,16-09-2019
4500000109,V02       ,10-09-2019,12-09-2019
4500000134,V01       ,08-10-2019,14-10-2019
4500000135,V02       ,08-10-2019,10-10-2019
4500000156,V01       ,22-10-2019,25-10-2019
4500000157,V02       ,22-10-2019,29-10-2019
4500000174,V01       ,05-11-2019,06-11-2019
4500000175,V02       ,05-11-2019,12-11-2019
4500000202,V01       ,19-11-2019,21-11-2019
4500000203,V02       ,19-11-2019,21-11-2019
4500000214,V01       ,03-12-2019,04-12-2019
4500000215,V02       ,03-12-2019,09-12-2019
4500000234,V01       ,17-12-2019,20-12-2019
4500000235,V02       ,17-12-2019,24-12-2019
4500000254,V01       ,31-12-2019,02-01-2020
4500000255,V02       ,31-12-2019,02-01-2020
4500000282,V01       ,15-01-2020,16-01-2020
4500000283,V02       ,15-01-2020,20-01-2020
4500000298,V01       ,30-01-2020,31-01-2020
4500000299,V02       ,30-01-2020,03-02-2020
4500000320,V01       ,13-02-2020,18-02-2020
4500000321,V02       ,13-02-2020,20-02-2020
4500000350,V01       ,27-02-2020,03-03-2020
4500000351,V02       ,27-02-2020,02-03-2020
4500000354,V01       ,13-03-2020,18-03-2020
4500000355,V02       ,13-03-2020,16-03-2020
4500000376,V01       ,27-03-2020,30-03-2020
4500000377,V02       ,27-03-2020,30-03-2020
4500000404,V01       ,14-04-2020,20-04-2020
4500000405,V02       ,14-04-2020,15-04-2020
4500000428,V01       ,28-04-2020,30-04-2020
4500000429,V02       ,28-04-2020,29-04-2020
4500000444,V01       ,12-05-2020,13-05-2020
4500000445,V02       ,12-05-2020,13-05-2020
